Professor Name,Affiliation,Paper Counts,Author URL
Dinesh Khandelwal,Unknown Affiliation,NeurIPS(20): 1,https://dblp.org/pid/177/0164
Dinesh Garg,Unknown Affiliation,NeurIPS(20): 1,https://dblp.org/pid/94/4438
Hima Karanam,Unknown Affiliation,NeurIPS(20): 1,https://dblp.org/pid/230/8590
L. Venkata Subramaniam,IBM India Research Lab,NeurIPS(20): 1,https://dblp.org/pid/s/LVenkataSubramaniam
Sho Sonoda,Unknown Affiliation,NeurIPS(20): 1,https://dblp.org/pid/139/0716
Mei Si,"Federal University of Pernambuco, Recife, Brazil",NeurIPS(20): 1,https://dblp.org/pid/m/SRdeLemosMeira
Hans J. Briegel,"University of Innsbruck, Institute for Theoretical Physics, Austria",NeurIPS(21): 1,https://dblp.org/pid/06/698
Vedran Dunjko,"Leiden University, The Netherlands",NeurIPS(21): 2,https://dblp.org/pid/82/8260
Bernhard Schölkopf,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",NeurIPS(21): 1,https://dblp.org/pid/97/119
Mateusz Ostaszewski,Unknown Affiliation,NeurIPS(21): 1,https://dblp.org/pid/162/0022
Wojciech Masarczyk,Unknown Affiliation,NeurIPS(21): 1,https://dblp.org/pid/248/8352
Yihui Quek,Unknown Affiliation,NeurIPS(21): 1,https://dblp.org/pid/154/6316
Srinivasan Arunachalam,Unknown Affiliation,NeurIPS(21): 1,https://dblp.org/pid/159/8588
John A. Smolin,Unknown Affiliation,NeurIPS(21): 1,https://dblp.org/pid/60/3047
Hongwei Chen,Unknown Affiliation,NeurIPS(22): 1,https://dblp.org/pid/06/5687
Andrew M. Childs,"University of Maryland, College Park, MD, USA",NeurIPS(22): 1; AAAI(21): 1,https://dblp.org/pid/57/6150
Tongyang Li,Unknown Affiliation,NeurIPS(22): 2; NeurIPS(23): 1; AAAI(21): 2; AAAI(23): 1,https://dblp.org/pid/142/1312
Jin-Peng Liu,Unknown Affiliation,NeurIPS(22): 1,https://dblp.org/pid/234/8904
Ruizhe Zhang 0001,"University of Texas at Austin, TX, USA",NeurIPS(22): 2,https://dblp.org/pid/133/6407-1
Rahul Jain,"National University of Singapore, Centre for Quantum Technologies (CQT), Singapore",NeurIPS(22): 1,https://dblp.org/pid/42/4430
Georgios Piliouras,Singapore University of Technology and Design,NeurIPS(22): 1,https://dblp.org/pid/62/1236
Yi-Ling Qiao,Unknown Affiliation,NeurIPS(22): 1,https://dblp.org/pid/226/5117
Xiaodi Wu 0001,"University of Maryland, College Park, MA, USA",NeurIPS(22): 1; AAAI(21): 1; ICCAD(21): 1,https://dblp.org/pid/66/8037-1
Xin Wang 0022,"Hong Kong University of Science and Technology, Thrust of Artificial Intelligence, Information Hub, Guangzhou, China",NeurIPS(22): 2; NeurIPS(23): 1; AAAI(21): 1,https://dblp.org/pid/10/5630-22
Yehui Tang,Unknown Affiliation,NeurIPS(22): 1,https://dblp.org/pid/244/9659
Junchi Yan,Unknown Affiliation,NeurIPS(22): 1,https://dblp.org/pid/60/7949
Zhan Yu,"Xiamen University, Software School, China",NeurIPS(22): 1,https://dblp.org/pid/90/109
Kaining Zhang,Unknown Affiliation,NeurIPS(22): 1; AAAI(23): 1,https://dblp.org/pid/249/2561
Min-Hsiu Hsieh,Unknown Affiliation,NeurIPS(22): 1,https://dblp.org/pid/47/3024
Dacheng Tao,"Nanyang Technological University, Singapore",NeurIPS(22): 1; AAAI(23): 1,https://dblp.org/pid/46/3391
Kirill Neklyudov,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/195/1093
Juan Carrasquilla,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/272/5324
Qiang Liu,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/214/5898
Max Welling,"University of Amsterdam, Informatics Institute, The Netherlands",NeurIPS(23): 1,https://dblp.org/pid/16/2286
Alireza Makhzani,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/122/5126
Hsin-Yuan Huang,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/97/2540
Dar Gilboa,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/203/4469
Jarrod R. McClean,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/217/3528
Noam Razin,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/247/1241
Nadav Cohen,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/119/7155
Marin Soljacic,Unknown Affiliation,NeurIPS(23): 2,https://dblp.org/pid/131/2044
Zhongxiang Dai,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/172/4968
Arun Verma,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/28/3688
Bryan Kian Hsiang Low,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/97/4877
Patrick Jaillet,"MIT, USA",NeurIPS(23): 1,https://dblp.org/pid/88/7260
Zhengfeng Ji,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/30/2575
Woo Youn Kim,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/90/8739
Xiao-Yang Liu,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/125/9849
Panayotis Mertikopoulos,"Université Grenoble Alpes, Grenoble INP, LIG, France",NeurIPS(23): 1,https://dblp.org/pid/49/6721
Nicholas Bambos,"Stanford University, USA",NeurIPS(23): 1,https://dblp.org/pid/b/NicholasBambos
Jose H. Blanchet,"Stanford University, Department of Management Science & Engineering, CA, USA",NeurIPS(23): 1,https://dblp.org/pid/75/5093
Rumen Dangovski,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/207/8546
Christopher J. Anders,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/243/2919
Karl Jansen,"University of Cyprus, Nicosia, Cyprus",NeurIPS(23): 1,https://dblp.org/pid/05/6534
Klaus-Robert Müller,"Technical University of Berlin, Germany",NeurIPS(23): 1,https://dblp.org/pid/m/KRMuller
Pan Kessel,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/238/1381
Aaron Sidford,"Stanford University, CA, USA",NeurIPS(23): 1,https://dblp.org/pid/125/2326
Chenyi Zhang,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/78/918
Haiyang Yu,"Beijing University of Technology, Data Mining and Security Lab and Beijing Key Laboratory of Trusted Computing, China",NeurIPS(23): 1,https://dblp.org/pid/90/6643
Meng Liu 0015,"Texas A&M University, Department of Computer Science and Engineering, College Station, TX, USA",NeurIPS(23): 1,https://dblp.org/pid/41/7841-15
Youzhi Luo,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/280/0590
Xiaoning Qian,Unknown Affiliation,NeurIPS(23): 1,https://dblp.org/pid/62/4504
Shuiwang Ji,"Texas A&M University, College Station, TX, USA",NeurIPS(23): 1,https://dblp.org/pid/84/6405
James Chien-Mo Li,"National Taiwan University, Taipei, Taiwan",DAC(20): 1,https://dblp.org/pid/l/ChienMoJamesLi
Lukas Burgholzer,"Technical University of Munich, Germany",DAC(20): 2; DAC(21): 1; DAC(22): 4; DAC(23): 3; ICCAD(20): 1,https://dblp.org/pid/241/4352
Robert Wille,"Free University of Amsterdam, Netherlands",DAC(20): 5; DAC(21): 2; DAC(22): 4; DAC(23): 4; DAC(24): 2; ICCAD(20): 2,https://dblp.org/pid/h/WRvHage
Stefan Hillmich,"Johannes Kepler Universität Linz, Austria",DAC(20): 3; DAC(21): 1; DAC(22): 1; DAC(23): 1; ICCAD(20): 1,https://dblp.org/pid/179/2938
Alwin Zulehner,"Johannes Kepler University Linz, Austria",DAC(20): 2; DAC(21): 1,https://dblp.org/pid/199/1732
Igor L. Markov,"Facebook Inc., Menlo Park, CA, USA",DAC(20): 3; DAC(23): 1,https://dblp.org/pid/m/IgorLMarkov
Abdullah Ash-Saki,Unknown Affiliation,DAC(20): 1; ICCAD(20): 1; ICCAD(21): 1,https://dblp.org/pid/234/1490
Swaroop Ghosh,Unknown Affiliation,DAC(20): 1; DAC(21): 1; DAC(23): 1; ICCAD(20): 1; ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/91/2072
Gushu Li,Unknown Affiliation,DAC(20): 1; DAC(24): 1,https://dblp.org/pid/163/3591
Yufei Ding,"University of California at Santa Barbara, CA, USA",DAC(20): 1,https://dblp.org/pid/127/9591
Yuan Xie 0001,Alibaba DAMO Academy,DAC(20): 1,https://dblp.org/pid/x/YuanXie
Richard Kueng,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/95/11466
Weiwen Jiang,Unknown Affiliation,DAC(21): 1; DAC(23): 1; DAC(24): 1; ICCAD(21): 2; ICCAD(22): 2,https://dblp.org/pid/151/4529
Jinjun Xiong,"University at Buffalo, Buffalo, NY, USA",DAC(21): 1,https://dblp.org/pid/81/1130
Yiyu Shi 0001,"University of Notre Dame, Sustainable Computing Laboratory, USA",DAC(21): 1; DAC(23): 1; DAC(24): 1; ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/94/5536
Andrea Basso 0002,"University of Bristol, UK",DAC(21): 1,https://dblp.org/pid/24/4040-2
Sujoy Sinha Roy,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/31/9547
Torsten Hoefler,ETH Zürich,DAC(21): 1,https://dblp.org/pid/16/3869
Mingsheng Ying,"Centre for Quantum Software and Information, University of Technology Sydney, Australia",DAC(21): 1; ICCAD(22): 1,https://dblp.org/pid/13/6525
Yuan Feng 0001,"University of Technology Sydney, Center for Quantum Software and Information, NSW, Australia",DAC(21): 1; AAAI(23): 1; ICCAD(20): 1; ICCAD(22): 1; ICCAD(23): 1,https://dblp.org/pid/14/6701-1
Sanjiang Li,"University of Technology Sydney, Australia",DAC(21): 1; AAAI(23): 1; ICCAD(20): 1; ICCAD(22): 1; ICCAD(23): 1,https://dblp.org/pid/30/4051
Emre Karabulut,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/268/1888
Aydin Aysu,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/39/9049
Junde Li,Unknown Affiliation,DAC(21): 1; ICCAD(20): 1,https://dblp.org/pid/242/3746
Nikolay V. Dokholyan,"The University of North Carolina at Chapel Hill, Department of Biochemistry and Biophysics, NC, USA",DAC(21): 1,https://dblp.org/pid/27/2633
Rudy Raymond,IBM Research,DAC(21): 1,https://dblp.org/pid/p/RRHPutra
Jie-Hong R. Jiang,"National Taiwan University, Taipei, Taiwan",DAC(21): 1; DAC(22): 1,https://dblp.org/pid/13/2622
Masaaki Kondo,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/75/6674
Masamitsu Tanaka,"Nagoya University, Japan",DAC(21): 1,https://dblp.org/pid/20/726
Prabhat Mishra 0001,"University of Florida, Gainesville, USA",DAC(21): 1; DAC(23): 1,https://dblp.org/pid/m/PrabhatMishra
Jiafeng Xie,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/64/8798
Pengzhou He,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/295/0078
Jidong Zhai,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/72/7413
Weimin Zheng,Unknown Affiliation,DAC(21): 1,https://dblp.org/pid/45/6990
Hanrui Wang 0002,"Massachusetts Institute of Technology, Cambridge, MA, USA",DAC(22): 2; DAC(23): 1; ICCAD(22): 1,https://dblp.org/pid/214/9819-2
Jiaqi Gu 0002,"University of Texas at Austin, Department of Electrical and Computer Engineering, Austin, TX, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/147/1190-2
Yongshan Ding 0001,"Yale University, New Haven, CT, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/64/3901-1
Zirui Li,"University of Minnesota, Minneapolis, MN, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/196/8629-1
Frederic T. Chong,"University of Chicago, IL, USA",DAC(22): 1; ICCAD(22): 1,https://dblp.org/pid/c/FTChong
David Z. Pan,"University of Texas at Austin, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/p/DavidZhigangPan
Song Han 0003,"Massachusetts Institute of Technology, Cambridge, MA, USA",DAC(22): 2; DAC(23): 1; ICCAD(22): 1,https://dblp.org/pid/80/806-3
Giovanni De Micheli,"Swiss Federal Institute of Technology in Lausanne, Switzerland",DAC(22): 1,https://dblp.org/pid/d/GDeMicheli
Ali Javadi-Abhari,Unknown Affiliation,DAC(22): 1,https://dblp.org/pid/146/9595
Hongxiang Fan,Unknown Affiliation,DAC(22): 1,https://dblp.org/pid/200/2748
Wayne Luk,"Imperial College London, UK",DAC(22): 1,https://dblp.org/pid/l/WayneLuk
Jae-Yoon Sim,Unknown Affiliation,DAC(22): 1,https://dblp.org/pid/58/2400
Seokhyeong Kang,Unknown Affiliation,DAC(22): 1; DAC(23): 1,https://dblp.org/pid/12/8003
Mathias Soeken,"Microsoft Quantum, Switzerland",DAC(22): 1,https://dblp.org/pid/20/3466
Zhirui Hu,Unknown Affiliation,DAC(23): 1; ICCAD(22): 1,https://dblp.org/pid/132/7766
Youzuo Lin,Unknown Affiliation,DAC(23): 1; DAC(24): 1; ICCAD(22): 1,https://dblp.org/pid/93/8684
Jin-Sung Kim,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/28/182
Alex McCaskey,"NVIDIA Corp, Santa Clara, CA, USA",DAC(23): 1,https://dblp.org/pid/183/6199
Youtao Zhang,"University of Pittsburgh, Computer Science Department, PA, USA",DAC(23): 1; DAC(24): 1,https://dblp.org/pid/z/YoutaoZhang
Xulong Tang,Unknown Affiliation,DAC(23): 1; DAC(24): 1,https://dblp.org/pid/66/10956
Nobuyuki Yoshikawa,Unknown Affiliation,DAC(23): 1; ICCAD(23): 1,https://dblp.org/pid/90/6854
Tsung-Yi Ho,"Chinese University of Hong Kong, Hong Kong, SAR, China",DAC(23): 1; DAC(24): 1; ICCAD(21): 1; ICCAD(23): 1,https://dblp.org/pid/63/4181
Olivia Chen,Unknown Affiliation,DAC(23): 1; ICCAD(23): 1,https://dblp.org/pid/240/9045
Yung-Chih Chen,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/30/2960
Chun-Yao Wang,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/24/3981
Shigeru Yamashita,Unknown Affiliation,DAC(23): 1; ICCAD(23): 1,https://dblp.org/pid/84/878
Shamiul Alam,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/278/0088
Kai Ni 0004,"Rochester Institute of Technology, Department of Electrical and Microelectronic Engineering, NY, USA",DAC(23): 1,https://dblp.org/pid/46/3815-4
Vijaykrishnan Narayanan,"Penn State, University Park, USA",DAC(23): 1,https://dblp.org/pid/v/NarayananVijaykrishnan
Ahmedullah Aziz,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/64/11473
Jason Cong,"University of California, Los Angeles, USA",DAC(23): 2; ICCAD(20): 1,https://dblp.org/pid/c/JasonCong
Song Bian 0001,"Beihang University, Beijing, China",DAC(23): 1,https://dblp.org/pid/179/7914
Jiliang Zhang 0002,"Hunan University, College of Computer Science and Electronic Engineering, Changsha, China",DAC(23): 1,https://dblp.org/pid/04/1262-2
Won Woo Ro,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/r/WonWooRo
Rajiv V. Joshi,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/42/5976
Sudipto Chakraborty,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/36/4663
Zhiding Liang,Unknown Affiliation,DAC(23): 1; DAC(24): 1; ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/302/0791
Zhixin Song,Unknown Affiliation,DAC(23): 1; DAC(24): 1; AAAI(21): 1,https://dblp.org/pid/155/8067
Zichang He,Unknown Affiliation,DAC(23): 1; DAC(24): 1,https://dblp.org/pid/198/0474
Yiru Wang,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/209/1905
Xuehai Qian,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/42/5189
Bochen Tan,Unknown Affiliation,DAC(23): 1; ICCAD(20): 1,https://dblp.org/pid/259/3196
Nikolaj S. Bjørner,"Microsoft Research, Redmond, WA, USA",DAC(23): 1,https://dblp.org/pid/51/912
Tirthak Patel,Unknown Affiliation,DAC(23): 1; AAAI(22): 1; AAAI(23): 1; ICCAD(20): 1,https://dblp.org/pid/208/1839
Devesh Tiwari,Unknown Affiliation,DAC(23): 1; AAAI(22): 1; AAAI(23): 1; ICCAD(20): 1,https://dblp.org/pid/76/9083
Nils Quetschlich,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/182/1065
Qingfeng Wang,"Zhejiang University, State Key Laboratory of Fluid Power Transmission and Control, Hangzhou, China",DAC(23): 1,https://dblp.org/pid/18/8083-1
Ming Li,"Dublin City University, School of Electronic Engineering, Dublin, Ireland",DAC(23): 1,https://dblp.org/pid/18/5977
Georgios Fotiadis,Unknown Affiliation,DAC(24): 1,https://dblp.org/pid/15/9245
Johann Großschädl,University of Luxembourg,DAC(24): 1,https://dblp.org/pid/g/JGrossschadl
Thinh Hung Pham,"Nanyang Technological University, Singapore",DAC(24): 1,https://dblp.org/pid/227/2189
Peter Y. A. Ryan,University of Luxembourg,DAC(24): 1,https://dblp.org/pid/r/PeterYARyan
