Professor Name,Affiliation,Paper Counts,Author URL
,,,
,,,
,,,
,,,
,,,
Mei Si,"Federal University of Pernambuco, Recife, Brazil",NeurIPS(20): 1,https://dblp.org/pid/m/SRdeLemosMeira
Hans J. Briegel,"University of Innsbruck, Institute for Theoretical Physics, Austria",NeurIPS(21): 1,https://dblp.org/pid/06/698
Vedran Dunjko,"Leiden University, The Netherlands",NeurIPS(21): 2,https://dblp.org/pid/82/8260
Bernhard Schölkopf,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",NeurIPS(21): 1,https://dblp.org/pid/97/119
,,,
,,,
,,,
,,,
,,,
Hongwei Chen,Tsinghua University,NeurIPS(22): 1,https://dblp.org/pid/06/5687
Andrew M. Childs,"University of Maryland, College Park, MD, USA",NeurIPS(22): 1; AAAI(21): 1,https://dblp.org/pid/57/6150
Tongyang Li,Peking University,NeurIPS(22): 2; NeurIPS(23): 1; AAAI(21): 2; AAAI(23): 1,https://dblp.org/pid/142/1312
Jin-Peng Liu,UCSD,NeurIPS(22): 1,https://dblp.org/pid/234/8904
,,,
Rahul Jain,"National University of Singapore, Centre for Quantum Technologies (CQT), Singapore",NeurIPS(22): 1,https://dblp.org/pid/42/4430
,,,
,,,
Xiaodi Wu 0001,"University of Maryland, College Park, MA, USA",NeurIPS(22): 1; AAAI(21): 1; ICCAD(21): 1,https://dblp.org/pid/66/8037-1
Xin Wang 0022,"Hong Kong University of Science and Technology, Thrust of Artificial Intelligence, Information Hub, Guangzhou, China",NeurIPS(22): 2; NeurIPS(23): 1; AAAI(21): 1,https://dblp.org/pid/10/5630-22
,,,
Junchi Yan,SJTU,NeurIPS(22): 1,https://dblp.org/pid/60/7949
Zhan Yu,"Xiamen University, Software School, China",NeurIPS(22): 1,https://dblp.org/pid/90/109
,,,
,,,
Dacheng Tao,"Nanyang Technological University, Singapore",NeurIPS(22): 1; AAAI(23): 1,https://dblp.org/pid/46/3391
Kirill Neklyudov,"University of Montreal (UdeM), Department of Computer Science and Operations Research (DIRO), Montreal, QC, Canada",NeurIPS(23): 1,https://dblp.org/pid/195/1093
,,,
,,,
Max Welling,"University of Amsterdam, Informatics Institute, The Netherlands",NeurIPS(23): 1,https://dblp.org/pid/16/2286
,,,
,,,
,,,
,,,
,,,
Nadav Cohen,Tel Aviv University,NeurIPS(23): 1,https://dblp.org/pid/119/7155
,,,
Zhongxiang Dai, The Chinese University of Hong Kong,NeurIPS(23): 1,https://dblp.org/pid/172/4968
,,,
Bryan Kian Hsiang Low,Unknown Affiliation National University of Singapore,NeurIPS(23): 1,https://dblp.org/pid/97/4877
Patrick Jaillet,"MIT, USA",NeurIPS(23): 1,https://dblp.org/pid/88/7260
Zhengfeng Ji,Tsinghua University,NeurIPS(23): 1,https://dblp.org/pid/30/2575
Woo Youn Kim,KAIST,NeurIPS(23): 1,https://dblp.org/pid/90/8739
Xiao-Yang Liu,RPI,NeurIPS(23): 1,https://dblp.org/pid/125/9849
Panayotis Mertikopoulos,"Université Grenoble Alpes, Grenoble INP, LIG, France",NeurIPS(23): 1,https://dblp.org/pid/49/6721
